name,text_type
狼烟北平,剧情
毛舜筠中最佳女主角娱乐,传记
玩伴 ,剧情
熊熊乐园 ,动画
爱情是从告白开始的第集,喜剧 爱情
将军在上 ,剧情 爱情 古装
女医明妃传 第集,剧情 古装
巨浪 ,剧情 冒险
赛季CBA总决赛,真人秀
米雅的精灵王国 ,短片 奇幻 冒险
突围行动国语版,剧情
地雷战 ,剧情 战争
和平饭店,剧情 悬疑
东南卫视,真人秀
爱人同志 ,剧情 战争
HD我的父亲我的兵 第集,剧情
魁拔妖侠传 ,动作 动画 奇幻 冒险
西游记TVB版第二部国语版,动画
小猪佩琪 ,剧情 动画 家庭 儿童
超变武兽 ,动画 战争 冒险
无敌铁桥三 ,剧情 古装
寻秦记 ,古装
金太狼的幸福生活,喜剧
湖南卫视高清,音乐 歌舞 真人秀
爱情上上签第集,喜剧 爱情
四川卫视,音乐 歌舞
吉林卫视,喜剧
熊出没之探险日记 ,动画
胭脂水粉国语版,剧情 爱情 家庭
奶奶再爱我一次 ,剧情 爱情 家庭
我爱发明,纪录片 真人秀
猪猪侠之梦想守卫者 上部 ,喜剧 动画 奇幻
阿贡中文TV版 ,剧情 动画 悬疑 犯罪
IPTV,喜剧 短片
武林风精编版,剧情 历史 战争
电影银翼杀手美国,剧情 科幻 惊悚
小猪佩奇第一季,剧情 动画 家庭 儿童
猪猪侠之超星萌宠 ,喜剧 动画 奇幻
猎车兽魂 ,科幻 动画 儿童
穿越火线第集,剧情 动作 科幻 战争
IPTV相声小品,喜剧
北京青年 ,剧情
好久不见,剧情 爱情
美好生活 ,剧情 爱情
精武门 ,剧情 动作 爱情 惊悚
长在面包树上的女人 第集,剧情 爱情
风筝第集,剧情 犯罪
浙江卫视高清,音乐 歌舞 真人秀
蜀山战纪剑侠传奇第集,武侠 古装
安徽卫视高清,音乐 歌舞
长沙保卫战,战争
武松 ,武侠 古装
云巅之上第一季第集,剧情 爱情
标清 电影芭比之真假公主美国,喜剧 动画 歌舞 家庭
金鹰卡通,脱口秀
电影堡垒美国,喜剧
江苏卫视高清,歌舞
东方卫视高清,音乐 真人秀
上海王,剧情 动作 爱情
夜宴,剧情 动作 古装
新水浒传第集,剧情 动作 古装
机变英盟 第二季 ,喜剧 动作 奇幻 冒险
黑狐之风影,剧情
海峡两岸,剧情
海上嫁女记,剧情 爱情
动作影院测试,动作 科幻 惊悚
咱们相爱吧DVD版 ,剧情 爱情
欢乐饭米粒儿,喜剧
妻子的谎言,剧情 家庭
亲家来了,剧情 历史 战争
HD国家底线,剧情
巴啦啦小魔仙之飞越彩灵堡 第二季 ,儿童 奇幻 冒险
熊爸熊孩子 ,剧情 家庭
 生活麻辣烫 前任归来,喜剧 爱情
情满四合院,剧情
CCTV,纪录片
超级飞侠 ,动画
初心 ,剧情
学警出更国语版,剧情 犯罪
喜羊羊与灰太狼之发明大作战 ,动画 儿童
恋爱先生第集,剧情 爱情
赛季NBA季后赛,剧情
钻石豪门 ,剧情
喜剧影院测试,喜剧 科幻
超级飞侠第三季 ,动画
暖男的爱情与战争 ,剧情 爱情 家庭
新三国第集,剧情 历史 战争
魔都风云,剧情 爱情
你是我的鱼,剧情 爱情
贵州卫视,音乐 真人秀
恰克大冒险 TV版 ,剧情 动作 动画
回到三国国语版,古装
古装剧场测试,剧情 喜剧 古装
电影巴黎危机法国美国英国,剧情 动作
剃刀边缘 第集,剧情 战争
致单身男女,剧情 爱情
巨浪,剧情 冒险
因为遇见你,剧情 爱情
金牌投资人,剧情
百变星球历险记 ,动画
金牌调解,真人秀
窃听风云Ⅲ,剧情 动作 悬疑 犯罪
生逢灿烂的日子,剧情 家庭
远大前程,剧情
红色 ,剧情 战争
渝乐耍大牌首,短片 音乐 脱口秀
HD异兽来袭国语版,剧情
比得兔 ,喜剧 动画 冒险
HD海上嫁女记 第集,剧情 爱情
辛追传奇 ,剧情 历史 战争 古装
大军师司马懿之军师联盟 ,剧情 爱情 战争 古装
帮帮龙出动之恐龙探险队 ,动画
笑傲江湖版国语版,动作 武侠 古装
终极使命,剧情 战争
HD南极之恋国语版,爱情 冒险
一站到底,真人秀
奶奶再爱我一次,剧情 爱情 家庭
逗逗迪迪爱探险 ,动画 儿童 冒险
贝瓦儿歌 第二季 ,动画
微微一笑很倾城 ,剧情 爱情
无敌县令,剧情 古装
后海不是海 ,剧情 犯罪
星影测试,动作 科幻 冒险
到爱的距离new,剧情 爱情
电影刺客联盟美国,动作 惊悚 犯罪
雪豹坚强岁月第集,剧情 战争
边关烽火情 第集,剧情 爱情
恋恋不忘 ,剧情 爱情
烈火刀影,剧情 爱情 历史 战争
精彩音乐汇,音乐 歌舞
HD一个鬼子都不留,剧情 战争
HD通天狄仁杰 第集,音乐 舞台艺术
择天记 ,剧情 奇幻 古装
舞法天女朵法拉第一季,喜剧 音乐 歌舞 儿童
深圳卫视高清,脱口秀
自然传奇,纪录片
哈喽葡星人,儿童
辽宁卫视高清,真人秀
万家灯火,剧情
家和万事兴DVD版 ,剧情 家庭
渝乐耍大牌重,短片 音乐 脱口秀
巨神战击队TV版 ,动作
HD米奇妙妙屋第四季,喜剧 动画 家庭
急诊科医生 ,剧情
英雄使命,动作 战争
我的父亲我的兵,剧情
八九不离十 ,剧情 爱情
阳光下的法庭,剧情
十月围城 ,剧情 动作 历史
千方百计爱上你第集,剧情 爱情
秦时丽人明月心 ,剧情 爱情 古装
体育世界,纪录片 运动
比得兔第二季 ,喜剧 动画 冒险
加菲猫的幸福生活 第四季 ,剧情 喜剧 动画
县委书记 ,剧情
熊出没之冬日乐翻天 ,动画
